r_km,a_over_r,l_at_1pct,coeffs_at_1pct,decay_slope
6371.20,1.000000,5.860,49,-2.9238
6058.07,1.051688,6.353,64,-2.6988
5760.33,1.106047,6.909,64,-2.4743
5477.23,1.163216,8.022,100,-2.2504
5208.04,1.223340,8.807,100,-2.0275
4952.07,1.286572,9.933,121,-1.8059
4708.69,1.353072,11.534,169,-1.5863
4477.27,1.423010,12.343,196,-1.3697
4257.22,1.496562,12.628,196,-1.1578
4047.99,1.573916,12.788,196,-0.9533
3849.04,1.655268,12.878,196,-0.7603
3659.87,1.740825,12.928,196,-0.5847
3480.00,1.830805,12.955,196,-0.4334
