year,lref_eff,fit_lo,fit_hi,decay_slope,spectrum_alpha,dipole_power_frac,l_at_1pct,coeffs_at_1pct
1900,10,1,9,-2.370264,6.066223,0.971282,5.623,49
1905,10,1,9,-2.376276,6.074959,0.970452,5.627,49
1910,10,1,9,-2.383854,6.08795,0.969388,5.634,49
1915,10,1,9,-2.392772,6.096519,0.968188,5.644,49
1920,10,1,9,-2.395009,6.092207,0.967008,5.656,49
1925,10,1,9,-2.402638,6.102443,0.96579,5.66,49
1930,10,1,9,-2.407865,6.101696,0.964477,5.668,49
1935,10,1,9,-2.413878,6.104716,0.963162,5.672,49
1940,10,1,9,-2.419932,6.106797,0.961877,5.671,49
1945,10,1,9,-2.216616,5.864187,0.960102,5.678,49
1950,10,1,9,-2.193852,5.867525,0.958777,5.703,49
1955,10,1,9,-2.452434,6.313089,0.957519,5.639,49
1960,10,1,9,-2.50035,6.292568,0.956262,5.652,49
1965,10,1,9,-2.465047,6.108761,0.955177,5.698,49
1970,10,1,9,-2.483796,6.140774,0.953923,5.698,49
1975,10,1,9,-2.484784,6.137415,0.952526,5.71,49
1980,10,1,9,-2.455347,6.097084,0.95083,5.759,49
1985,10,1,9,-2.455136,6.086708,0.949117,5.79,49
1990,10,1,9,-2.465429,6.082988,0.947531,5.801,49
1995,10,1,9,-2.448767,6.03888,0.945911,5.813,49
2000,13,1,12,-2.908415,7.512547,0.944377,5.831,49
2005,13,1,12,-2.911622,7.500993,0.943099,5.842,49
2010,13,1,12,-2.911982,7.495516,0.941707,5.853,49
2015,13,1,12,-2.91479,7.497248,0.939999,5.864,49
2020,13,1,12,-2.923811,7.508708,0.938174,5.86,49
2025,13,1,12,-2.928246,7.513886,0.936265,5.862,49
